,船橋,船橋,船橋,船橋,船橋,千葉,千葉,千葉,千葉,千葉,館山,館山,館山,館山,館山,銚子,銚子,銚子,銚子,銚子
2021/6,22.5,27.0,19.1,31.7,15.1,22.8,26.6,19.9,30.3,15.9,22.2,26.4,18.6,28.8,15.4,21.5,24.3,19.2,27.0,16.1
2021/7,25.7,30.0,22.6,34.6,19.3,26.0,29.6,23.3,32.9,19.9,25.7,29.5,22.6,32.7,20.0,24.6,27.3,22.5,30.4,19.6
2021/8,27.2,31.3,24.2,36.0,18.7,27.7,31.0,25.1,35.5,19.4,27.3,30.9,24.4,34.1,20.3,26.4,29.3,24.3,32.3,20.6
2021/9,22.1,26.0,18.9,31.7,16.1,22.8,26.2,20.0,30.4,17.2,23.0,26.8,19.6,30.5,15.7,23.1,25.3,21.1,28.9,19.1
2021/10,17.8,22.1,14.1,28.6,6.9,18.8,22.6,15.6,28.6,9.6,18.8,23.1,15.0,28.7,7.1,19.3,22.1,16.5,27.4,9.7
2021/11,13.2,18.1,8.7,21.7,2.5,14.7,18.6,11.1,22.3,5.0,14.6,19.2,10.0,22.8,1.5,15.4,18.4,12.0,22.0,4.4
2021/12,7.3,12.1,2.8,20.0,-3.3,8.7,12.7,4.8,20.2,-0.4,9.4,14.1,3.8,20.2,-2.9,9.4,13.1,5.4,21.2,-1.0
2022/1,4.1,8.9,-0.1,13.3,-5.4,5.5,9.4,2.0,13.6,-2.0,5.7,10.6,0.2,15.6,-3.5,5.8,9.5,2.2,14.3,-1.0
2022/2,4.7,9.6,0.0,16.4,-3.1,5.9,10.1,2.1,17.0,-0.5,5.8,11.0,-0.1,15.9,-3.6,6.1,10.2,2.2,16.5,-1.2
2022/3,10.2,15.8,5.3,22.8,-0.5,10.9,15.8,6.6,21.3,0.8,11.6,16.5,6.2,23.4,-1.1,10.8,14.3,7.2,23.3,2.6
2022/4,14.7,19.3,10.6,27.0,2.1,15.3,19.2,11.8,26.6,2.9,15.5,19.5,11.7,25.1,3.4,15.0,17.9,12.3,23.5,4.8
2022/5,18.6,23.0,14.6,29.1,8.5,19.0,22.9,15.8,28.0,10.3,18.7,23.0,14.6,29.3,7.9,18.3,21.2,15.6,27.2,10.8
2022/6,22.3,26.4,19.0,37.1,14.0,22.8,26.4,20.1,36.4,15.4,22.3,26.2,19.3,33.2,14.1,21.2,24.4,19.1,32.0,15.3
2022/7,27.1,31.4,24.3,37.8,21.2,27.4,31.0,25.2,35.7,22.5,26.6,30.1,24.1,33.3,19.9,25.4,28.8,23.2,32.9,21.3
2022/8,27.1,31.3,24.1,36.9,19.4,27.7,31.3,25.0,34.9,20.3,27.2,31.1,24.2,34.6,20.5,25.6,29.0,23.1,33.4,19.9
2022/9,24.1,28.5,20.8,32.4,16.2,24.8,28.7,21.8,32.9,16.9,24.9,29.2,21.5,32.9,17.7,24.1,26.6,22.1,30.9,17.8
